url,discoveredFrom,status,finalUrl,title,notes
"http://127.0.0.1:3017/","code-seed",200,"http://127.0.0.1:3017/","Regulski Behawiorysta | Konsultacje behawioralne psów i kotów",""
"http://127.0.0.1:3017/behawiorysta-online-polska","code-seed",200,"http://127.0.0.1:3017/","Regulski Behawiorysta | Konsultacje behawioralne psów i kotów","redirected"
"http://127.0.0.1:3017/bezplatne-materialy/30-zachowan","code-seed",200,"http://127.0.0.1:3017/materialy","Materiały PDF do pobrania | Regulski Behawiorysta","redirected"
"http://127.0.0.1:3017/bezplatne-materialy/kot-zyje-w-napieciu","code-seed",200,"http://127.0.0.1:3017/materialy","Materiały PDF do pobrania | Regulski Behawiorysta","redirected"
"http://127.0.0.1:3017/bezplatne-materialy/pierwszy-tydzien-z-kotem","code-seed",200,"http://127.0.0.1:3017/materialy","Materiały PDF do pobrania | Regulski Behawiorysta","redirected"
"http://127.0.0.1:3017/bezplatne-materialy/pies-ile-ruchu-potrzebuje","code-seed",200,"http://127.0.0.1:3017/materialy","Materiały PDF do pobrania | Regulski Behawiorysta","redirected"
"http://127.0.0.1:3017/bezplatne-materialy/pies-sam-w-domu","code-seed",200,"http://127.0.0.1:3017/materialy","Materiały PDF do pobrania | Regulski Behawiorysta","redirected"
"http://127.0.0.1:3017/blog","code-seed|crawl",200,"http://127.0.0.1:3017/blog","Blog o zachowaniu psów i kotów | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/agresja-przekierowana-u-kota","code-seed",200,"http://127.0.0.1:3017/blog/agresja-przekierowana-u-kota","Agresja przekierowana u kota — co to jest i... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/behawiorysta-zoopsycholog-trener-do-kogo-sie-zglosic","code-seed|crawl",200,"http://127.0.0.1:3017/blog/behawiorysta-zoopsycholog-trener-do-kogo-sie-zglosic","Behawiorysta, zoopsycholog czy trener — do... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/czym-jest-coape-behawiorysta-po-tej-szkole","code-seed",200,"http://127.0.0.1:3017/blog/czym-jest-coape-behawiorysta-po-tej-szkole","Czym jest COAPE? Co oznacza behawiorysta po... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/dlaczego-moj-pies-szczeka-na-inne-psy","code-seed|crawl",200,"http://127.0.0.1:3017/blog/dlaczego-moj-pies-szczeka-na-inne-psy","Dlaczego mój pies szczeka na inne psy - i c... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/ile-kosztuje-konsultacja-behawioralna","code-seed",200,"http://127.0.0.1:3017/blog/ile-kosztuje-konsultacja-behawioralna","Ile kosztuje konsultacja behawioralna? Co d... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/jak-nagrac-psa-zostawionego-samemu","code-seed",200,"http://127.0.0.1:3017/blog/jak-nagrac-psa-zostawionego-samemu","Jak nagrać psa zostawionego samemu i co z n... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/jak-nauczyc-psa-zostawania-samemu","code-seed|crawl",200,"http://127.0.0.1:3017/blog/jak-nauczyc-psa-zostawania-samemu","Jak nauczyć psa zostawania samemu — pierwsz... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/jak-przygotowac-sie-do-konsultacji-behawioralnej-online","code-seed",200,"http://127.0.0.1:3017/blog/jak-przygotowac-sie-do-konsultacji-behawioralnej-online","Jak przygotować się do konsultacji behawior... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/jak-ustawic-kuwete-dla-kota","code-seed|crawl",200,"http://127.0.0.1:3017/blog/jak-ustawic-kuwete-dla-kota","Jak ustawić kuwetę dla kota — lokalizacja... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/jak-wprowadzic-nowego-kota-do-domu","code-seed|crawl",200,"http://127.0.0.1:3017/blog/jak-wprowadzic-nowego-kota-do-domu","Jak wprowadzić nowego kota do domu, w który... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/jak-wybrac-kuwete-i-zwirek-dla-kota","code-seed|crawl",200,"http://127.0.0.1:3017/blog/jak-wybrac-kuwete-i-zwirek-dla-kota","Jak wybrać kuwetę i żwirek dla kota — co ko... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/jak-wyglada-konsultacja-behawioralna-online","code-seed",200,"http://127.0.0.1:3017/blog/jak-wyglada-konsultacja-behawioralna-online","Jak wygląda konsultacja behawioralna online... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/jak-zapoznac-dwa-koty","code-seed|crawl",200,"http://127.0.0.1:3017/blog/jak-zapoznac-dwa-koty","Jak zapoznać dwa koty, żeby nie zepsuć rela... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/kiedy-behawiorysta-kiedy-trener-psa","code-seed|crawl",200,"http://127.0.0.1:3017/blog/kiedy-behawiorysta-kiedy-trener-psa","Kiedy behawiorysta, a kiedy trener psa? Jak... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/kot-drapie-meble","code-seed|crawl",200,"http://127.0.0.1:3017/blog/kot-drapie-meble","Kot drapie meble — dlaczego to robi i jak t... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/kot-zalatwia-sie-poza-kuweta","code-seed|crawl",200,"http://127.0.0.1:3017/blog/kot-zalatwia-sie-poza-kuweta","Kot załatwia się poza kuwetą: co sprawdzić... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/nowy-pies-pierwsze-72-godziny","code-seed|crawl",200,"http://127.0.0.1:3017/blog/nowy-pies-pierwsze-72-godziny","Nowy pies w domu — pierwsze 72 godziny. Co... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/pies-ciagnie-na-smyczy","code-seed|crawl",200,"http://127.0.0.1:3017/blog/pies-ciagnie-na-smyczy","Pies ciągnie na smyczy: kiedy ćwiczyć chodz... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/pies-ciagnie-na-smyczy-od-czego-zaczac","code-seed|crawl",200,"http://127.0.0.1:3017/blog/pies-ciagnie-na-smyczy-od-czego-zaczac","Pies ciągnie na smyczy — od czego zacząć, ż... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/pies-wyje-kiedy-zostaje-sam","code-seed|crawl",200,"http://127.0.0.1:3017/blog/pies-wyje-kiedy-zostaje-sam","Pies wyje, kiedy zostaje sam: co nagrać i s... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/reaktywnosc-na-smyczy-cwiczenie-luznej-smyczy","code-seed",200,"http://127.0.0.1:3017/blog/reaktywnosc-na-smyczy-cwiczenie-luznej-smyczy","Jak ćwiczyć luźną smycz z reaktywnym psem —... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/rutyna-wyjscia-oswajanie-psa-z-samotnoscia","code-seed",200,"http://127.0.0.1:3017/blog/rutyna-wyjscia-oswajanie-psa-z-samotnoscia","Rutyna wyjścia — jak krok po kroku oswajać... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/stres-kota-a-zachowania-toaletowe","code-seed|crawl",200,"http://127.0.0.1:3017/blog/stres-kota-a-zachowania-toaletowe","Stres kota w domu — jak środowisko wpływa n... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/blog/szczeniak-pierwsza-noc","code-seed|crawl",200,"http://127.0.0.1:3017/blog/szczeniak-pierwsza-noc","Pierwsza noc ze szczeniakiem - jak ustawić... | Regulski Behawiorysta",""
"http://127.0.0.1:3017/book","code-seed|crawl",200,"http://127.0.0.1:3017/book","Rezerwacja Kwadransa behawioralnego | Regulski Behawiorysta",""
"http://127.0.0.1:3017/book?service=konsultacja-behawioralna-online","code-seed|crawl",200,"http://127.0.0.1:3017/book?service=konsultacja-behawioralna-online","Rezerwacja: Pełna konsultacja behawioralna | Regulski Behawiorysta",""
"http://127.0.0.1:3017/book?service=konsultacja-behawioralna-online&species=kot","code-seed",200,"http://127.0.0.1:3017/book?service=konsultacja-behawioralna-online&species=kot","Rezerwacja: Pełna konsultacja behawioralna | Regulski Behawiorysta",""
"http://127.0.0.1:3017/book?service=konsultacja-behawioralna-online&species=pies","code-seed",200,"http://127.0.0.1:3017/book?service=konsultacja-behawioralna-online&species=pies","Rezerwacja: Pełna konsultacja behawioralna | Regulski Behawiorysta",""
